Extracted, Source
"<html lang="en">", training_sample_0.html
"<html lang=en>", training_sample_1.html
"", training_sample_10.html
"", training_sample_11.html
"", training_sample_12.html
"", training_sample_13.html
"<html lang="en">", training_sample_14.html
"<html lang="en">", training_sample_15.html
"", training_sample_16.html
"<html lang="en">", training_sample_17.html
"", training_sample_18.html
"<html lang="en">", training_sample_19.html
"", training_sample_2.html
"", training_sample_20.html
"<html lang="en">", training_sample_21.html
"", training_sample_22.html
"<html lang="en">", training_sample_23.html
"", training_sample_24.html
"", training_sample_25.html
"", training_sample_26.html
"", training_sample_27.html
"<html lang="en">", training_sample_28.html
"", training_sample_29.html
"<html lang="en">", training_sample_3.html
"", training_sample_30.html
"", training_sample_31.html
"<html lang="en">", training_sample_32.html
"", training_sample_33.html
"", training_sample_34.html
"<html lang="en">", training_sample_35.html
"", training_sample_36.html
"<html lang="en">", training_sample_37.html
"", training_sample_38.html
"<html lang="en">", training_sample_39.html
"", training_sample_4.html
"<html lang="fr">", training_sample_40.html
"<html lang="en">", training_sample_41.html
"", training_sample_42.html
"<html lang="en">", training_sample_43.html
"", training_sample_44.html
"", training_sample_45.html
"", training_sample_46.html
"", training_sample_47.html
"", training_sample_48.html
"", training_sample_49.html
"", training_sample_5.html
"", training_sample_6.html
"", training_sample_7.html
"", training_sample_8.html
"", training_sample_9.html
